Event,KE_e,x,y,z
537,3.17649e-08,-84.7077,-52.8179,215
865,7.22131e-08,19.597,2.90796,215
1037,2.84295e-08,-15.3378,17.9649,215
1069,1.11726e-07,-72.0979,-54.3406,215
1733,0.0158776,102.521,17.4968,215
1945,4.92586e-08,-39.9531,89.044,215
2339,1.24738e-07,-8.83579,-13.8876,215
2486,1.13915e-07,-16.461,5.19142,215
2754,1.62544e-07,-7.6064,12.6432,215
3384,1.13992e-07,-3.88175,-40.9061,215
4424,4.3857e-08,-2.20371,-10.3483,215
4728,7.25278e-08,12.6029,6.7538,215
5157,6.46353e-08,-19.8095,32.3328,215
5283,3.4512e-09,34.4132,-19.1151,215
6067,9.02832e-08,90.3483,-89.1883,215
7021,1.05726e-08,-5.48763,7.09404,215
7047,4.152e-08,17.3046,9.44488,215
7540,4.1005e-08,11.3264,10.9141,215
7672,1.23971e-07,-19.569,-57.421,215
8029,1.86303e-08,-3.27459,0.424196,215
8051,1.46777e-08,-14.5898,18.1869,215
8496,1.56059e-08,-8.85807,42.0606,215
8770,3.31396e-08,6.76407,-7.30619,215
9657,9.81654e-08,-23.6924,21.3275,215
10135,0.101988,-2.32799,-105.841,215
10347,6.07596e-08,-12.8999,-9.92302,215
10422,1.22173e-08,-16.6623,5.29554,215
10506,5.32331e-08,1.84062,-61.8345,215
11104,2.04226e-08,11.3099,-15.9615,215
11431,7.52654e-08,-24.8571,-7.97115,215
11621,3.9328e-08,12.6699,20.913,215
12283,1.39969e-08,-27.6012,49.6884,215
13312,3.84644e-08,5.23156,5.41064,215
13986,1.10039e-07,156.393,-49.2581,215
14636,1.98531e-08,17.5453,-37.6765,215
15059,2.48444e-08,87.15,-73.4309,215
15158,2.05996e-08,-3.39183,-10.0728,215
15508,1.47416e-08,91.3187,-94.6756,215
17145,5.39207e-09,55.5426,-90.8869,215
17394,2.70129e-08,6.97348,0.0525571,215
17929,1.06126e-07,0.144567,-16.3365,215
18797,5.03454e-08,19.1248,-16.4726,215
19303,1.04049e-08,-3.28789,-13.3193,215
19535,7.58547e-08,23.6847,2.88808,215
19560,4.98234e-08,7.45194,3.90421,215
19675,6.14225e-08,3.0827,-7.21027,215
19845,8.46058e-08,76.2365,69.0576,215
20075,1.13364e-07,16.6564,-15.4363,215
20344,8.597e-08,-15.0482,-8.65472,215
20488,6.64189e-08,-20.0587,7.64945,215
20657,5.36827e-08,-127.927,37.0637,215
20937,1.00233,53.4093,-10.0217,215
22098,0.0493098,-21.4109,53.9664,215
22108,8.58603e-08,51.4898,-106.649,215
22645,6.39693e-08,-14.7684,-20.1522,215
22719,1.45062e-07,-11.6174,-82.391,215
23166,1.69121e-07,-0.767427,-20.4473,215
23189,7.21947e-08,-15.8788,5.90246,215
23927,0.000179029,-23.7244,-15.0319,215
23952,0.000136548,16.5513,73.3553,215
24235,4.99414e-08,25.7177,-4.08108,215
24754,2.761e-08,16.2181,63.9409,215
26365,1.83624e-08,15.5506,-23.2184,215
26869,1.08017e-07,-1.07078,26.4395,215
27725,4.38875e-08,-18.9877,-14.2681,215
28895,1.49487e-08,-160.884,66.8363,215
28908,0.000122865,-12.0458,12.2354,215
29450,1.65965e-08,-7.2636,18.5189,215
29638,1.56933e-07,-19.3892,11.0332,215
30535,1.17013e-08,0.171164,0.227628,215
30864,2.73655e-08,20.929,23.6822,215
31417,4.51556e-08,123.999,-15.2571,215
31570,5.06789e-08,-4.00372,9.7168,215
31638,1.839e-08,5.66405,23.9428,215
31928,1.84753e-05,6.11839,-3.42205,215
32436,0.211334,-150.908,-119.264,215
32765,8.34537e-08,131.138,15.1738,215
33290,1.75476e-07,92.1741,-8.84345,215
33446,2.91622e-08,-29.0185,-9.5896,215
34785,2.50047e-08,122.938,-81.1394,215
35803,0.0018038,14.4959,57.2678,215
36260,2.94313e-08,21.19,-24.2093,215
36628,4.24561e-08,-10.6216,-17.4479,215
37533,4.05867e-08,-32.9433,-9.23949,215
37657,4.17986e-08,-12.7387,13.9278,215
38090,2.14548e-08,-18.1499,9.85559,215
38604,2.71063e-08,2.81557,-3.99515,215
38688,4.48107e-09,-3.34107,0.819008,215
39056,2.60377e-08,5.2788,14.041,215
39555,6.56698e-08,18.6641,-22.9607,215
39780,5.88847e-08,-7.5964,-1.52954,215
40428,1.33123e-08,106.888,31.8521,215
40853,1.91236e-08,-18.1803,-17.963,215
41440,6.78563e-08,-12.2987,6.5323,215
41509,3.54004e-08,-9.03168,-17.8654,215
42148,4.01215e-08,144.829,33.1265,215
42568,2.82178e-05,-9.29369,21.2969,215
43126,6.8183e-08,20.806,-10.5864,215
43225,2.67234e-08,-25.6838,-20.1434,215
43644,3.26138e-08,-14.9425,-22.3524,215
44212,3.83166e-08,-19.994,15.6626,215
44473,2.00411e-08,-18.5559,-12.2556,215
44667,3.13511e-08,-33.0788,-58.7804,215
45127,8.48592e-08,-15.4089,-6.89816,215
45948,4.58174e-08,-25.3551,14.456,215
46579,2.47426e-05,19.3033,-50.2434,215
46657,9.48168e-08,28.944,64.2458,215
47121,1.48203e-08,4.54971,-21.4144,215
47549,3.28973e-08,20.5765,7.8334,215
47789,6.88373e-09,-45.8527,-10.2102,215
47949,6.1763e-08,-2.40636,4.13698,215
48862,1.09607e-07,98.9329,-18.9309,215
49079,3.07126e-08,-1.25937,-14.4642,215
49139,1.72776e-07,-12.6691,61.3114,215
49546,3.50702e-08,-22.2398,20.6162,215
49620,1.18962,46.6802,108.578,215
49888,0.00225586,11.6386,-17.8741,215
50066,1.75037e-06,135.699,-93.5878,215
50438,1.00298e-07,29.873,-1.03497,215
50443,6.86013e-08,21.0497,-8.86525,215
50860,8.64142e-08,-2.13629,8.75709,215
51304,5.19018e-08,16.1321,-15.253,215
51686,2.52937e-08,1.00235,56.3094,215
52263,1.22545e-08,-16.6377,-17.0862,215
52299,5.39014e-07,-49.7862,-39.3233,215
52850,1.24656e-07,-42.6481,51.9174,215
53283,8.34556e-08,28.2999,62.7573,215
53677,4.71907e-08,-23.7835,8.85744,215
54486,5.3443e-08,21.8214,-3.31342,215
54818,1.8372e-08,0.87236,-19.8865,215
54876,6.8047e-08,71.3411,-29.4642,215
55113,2.15232e-08,13.4274,33.4351,215
55334,5.24095e-08,-9.80201,-10.6563,215
55404,3.49098e-08,4.19251,10.7246,215
55739,8.95727e-08,-22.1262,-12.3378,215
55862,5.77136e-08,9.96168,-0.398628,215
56335,3.96197e-08,-115.702,126.108,215
57250,3.16423e-06,-37.8895,24.0681,215
57648,4.12508e-08,7.9049,-13.0795,215
57799,3.02909e-08,-25.7429,-24.7977,215
58199,4.0786e-08,-1.31214,18.8077,215
58770,4.19593e-08,-7.59987,17.6522,215
58884,3.39115e-08,10.9686,6.98017,215
59220,1.31161e-08,0.0510915,17.9315,215
59599,3.87586e-08,7.67262,-12.5983,215
60010,1.78547e-08,-3.76768,16.1112,215
61422,9.70411e-08,-6.68342,-13.0468,215
61918,2.35426e-05,144.918,-76.2648,215
62157,0.736976,-24.0129,18.956,215
62371,2.56336e-08,21.4496,15.3479,215
62978,3.75679e-08,37.6894,-30.4488,215
63210,3.66831e-08,20.0994,-69.2638,215
63595,5.54573e-08,2.34636,20.0179,215
63646,6.85379e-08,5.09707,-13.4124,215
63806,0.0290938,37.8482,-28.0883,215
64092,2.96457e-08,18.7265,7.02078,215
64811,2.17856e-08,3.04918,21.5036,215
65052,2.24975e-05,-9.79363,76.1081,215
65631,1.08437e-07,20.8492,30.6578,215
65792,3.81549e-08,-15.6069,9.28088,215
65812,5.36545e-08,5.10129,53.846,215
66189,2.21954e-08,14.4025,-9.15043,215
66503,1.38448e-08,-9.75665,-6.10665,215
67217,2.57284e-08,11.9766,0.27502,215
67420,2.98706e-08,-3.55946,-10.4342,215
67453,5.7534e-09,-7.30772,-7.55125,215
68918,2.99577e-08,-4.41499,-12.83,215
69511,0.0268225,-19.886,-12.3751,215
70068,3.86769e-08,22.9534,-2.763,215
70778,6.39379e-08,-22.6952,1.91153,215
72212,3.32996e-08,11.8767,-9.17186,215
72402,1.04448e-07,-19.7614,46.5145,215
72431,4.34454e-08,-5.96997,-23.4055,215
72790,1.46895e-07,26.6363,57.7888,215
73239,5.89107e-08,21.8508,23.702,215
73467,9.72994e-08,-11.5935,-42.1664,215
74501,3.58477e-08,8.18738,23.0923,215
74511,5.07906e-08,21.8508,-2.21283,215
74525,6.08595e-08,2.22187,19.6584,215
75261,5.67039e-07,-89.2792,192.345,215
75336,5.48353e-08,105.115,124.055,215
75527,0.00769852,53.6758,39.3111,215
75589,1.55651e-07,-24.1692,3.95465,215
76469,5.30955e-08,-23.6353,-5.45172,215
76983,1.8139e-08,14.4359,-15.291,215
77783,1.0513e-07,54.4325,-12.6344,215
77807,4.4956e-09,-21.3141,-7.43123,215
78334,6.29678e-08,7.09238,12.2282,215
78448,1.78856e-08,0.665218,-19.697,215
78533,3.25092e-08,17.1779,-82.1668,215
78825,1.01408e-07,2.2419,-6.20837,215
79002,2.71414e-07,18.2385,-14.3589,215
79016,5.36586e-08,24.0164,-14.5279,215
79810,8.96689e-08,-23.2248,105.289,215
80202,0.00711416,-23.8352,30.2384,215
80781,5.62871e-06,3.86684,5.60991,215
81042,4.07978e-08,-1.69034,-43.1457,215
81367,4.49062e-08,-5.6252,10.9352,215
81724,3.18103e-08,16.9747,26.1938,215
82617,8.15221e-08,-11.1716,23.5602,215
82943,4.09988e-08,27.1544,-23.1271,215
83589,5.0689e-08,-6.61647,-2.3757,215
84003,9.41798e-08,51.6552,40.7404,215
84132,3.57667e-09,23.6472,0.431514,215
84286,2.73622e-08,3.64586,-2.17277,215
85873,3.77184e-08,0.400553,-35.4912,215
85949,2.61495e-08,12.6938,-9.88539,215
86827,9.78626e-08,11.163,-10.7862,215
88640,0.275389,15.4488,9.24807,215
88982,0.00624619,-49.5573,68.0231,215
89135,7.74107e-08,-9.39602,-13.4373,215
89164,1.10037e-08,-23.811,-22.309,215
89182,4.27517e-08,25.2744,-31.0814,215
89344,2.85924e-08,4.63718,-26.6198,215
89539,2.19949e-08,-6.10001,-10.2858,215
89837,1.05276e-07,-100.477,76.0061,215
90105,9.14508e-09,-11.5835,22.6113,215
90113,1.45035e-08,68.3809,57.794,215
90132,4.21439e-08,-11.2796,-22.1395,215
90190,5.24656e-07,-13.3534,-13.2711,215
90205,5.81109e-08,-14.6598,12.9307,215
90432,0.51761,119.851,79.1905,215
90690,2.47128e-08,9.33246,16.9898,215
90798,1.0659e-07,7.15675,-18.7809,215
91191,6.48416e-08,33.504,-36.6426,215
91469,5.66898e-09,-9.38702,22.2485,215
92639,8.53771e-08,-13.4154,-25.0609,215
93375,5.94837e-08,4.93005,2.7576,215
93728,9.37253e-08,-19.5552,10.1036,215
93814,1.30346e-08,5.9352,20.7589,215
94201,8.77649e-08,-14.5054,-27.809,215
94389,3.14944e-08,4.53521,-5.23984,215
94514,3.2522e-08,-32.306,-37.1439,215
95575,2.31672,-9.70061,-9.88168,215
95594,4.47509e-08,-8.11039,3.80871,215
96340,1.559e-08,10.7417,2.5758,215
96851,1.31943e-08,0.167721,-5.68803,215
96920,5.6249e-08,-11.9922,-15.4152,215
97004,6.21314e-08,2.51444,-10.7614,215
97017,6.39122e-08,-100.034,87.0969,215
97396,1.56246e-08,19.5552,-13.5949,215
97946,1.188e-08,-0.484742,29.5262,215
98018,6.4429e-08,20.5151,20.0544,215
98073,1.95963e-08,-59.2365,25.6764,215
98223,3.96019e-08,66.9998,-8.61756,215
98250,2.72166e-08,-35.6866,76.9078,215
98564,6.22518e-08,9.66938,19.2312,215